day,time,relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (Â°),wind_speed_100m (km/h),wind_direction_100m (Â°),PM10 (Âµg/mÂ³),NO (Âµg/mÂ³),NO2 (Âµg/mÂ³),NOx (ppb),NH3 (Âµg/mÂ³),SO2 (Âµg/mÂ³),CO (mg/mÂ³),Ozone (Âµg/mÂ³),Benzene (Âµg/mÂ³),Toluene (Âµg/mÂ³),Xylene (Âµg/mÂ³),Eth-Benzene (Âµg/mÂ³),MP-Xylene (Âµg/mÂ³)
01-01-2024,14:00:00,94,0,991.4,9,337,13.8,340,313.34,26.43,52.6,49.82,96.74,4.44,1.95,39.91,4.47,10.14,3.184684951,2.18,3.38
01-01-2024,15:00:00,95,0,991.6,8,333,13.6,338,213.44,25.25,52.33,47.86,99.14,3.77,1.91,34.17,4.35,10.11,3.184684951,2.33,2.68
01-01-2024,16:00:00,96,0,991.7,8.8,341,13.3,341,239.61,26.59,42.85,45.62,85.2,2.73,1.65,36.6,3.52,7.38,3.184684951,2.56,4.73
01-01-2024,17:00:00,97,0,991.8,9.5,349,12.4,343,231.04,26.56,31.22,40.18,89.62,12.29,2.08,33.46,3.25,5.82,2.65,1.94,2.22
01-01-2024,18:00:00,98,0,991.5,9.1,353,12.1,343,218.45,28.89,29.1,37.51,92.22,11.07,1.42,28.29,3.33,10.87,2.78,3.55,5.95
01-01-2024,19:00:00,98,0,991.2,7.9,3,10.7,348,213.17,29.42,28.24,37.34,93.26,9.37,1.48,26.9,3.26,10.86,2.68,3.51,5.86
01-01-2024,20:00:00,99,0,990.7,6.9,351,9.5,349,236.06,31.12,27.52,47.35,88.68,8.61,1.82,20.91,3.59,6.36,2.59,1.96,3.14
01-01-2024,21:00:00,100,0,990.6,5.9,313,8.7,336,259.26,32.04,27.15,47.91,83.68,8.12,1.83,20.88,4.03,7.85,2.56,1.88,2.71
01-01-2024,22:00:00,100,0,990.2,6.8,302,9.4,328,278.23,28.92,27.39,46.35,80.1,9.23,2.59,20.48,4.35,8.48,3.72,1.68,2.91
01-01-2024,23:00:00,100,0,990.1,4.1,308,11,328,297.65,26.78,26.5,45.35,78.63,9.15,2.45,20.51,5.04,7.5,3.71,1.68,3.85
02-01-2024,00:00:00,99,0,990,5.7,325,13.2,338,302.25,23.67,21.38,38.28,85.8,9.34,1.72,16.72,4.81,18.1,13.08,7.3,4.69
02-01-2024,01:00:00,99,0,991.5,5.2,326,9.7,345,309.66,25.25,22.31,44.21,90.48,8.79,1.7,23.19,3.24,5.97,3.84,1.39,3.2
02-01-2024,02:00:00,99,0,992.3,3.9,326,7.5,343,266.96,27.24,19.92,42.39,90.07,8.45,1.39,16.87,3.22,6.97,2.33,1.19,2.56
02-01-2024,03:00:00,98,0,993.1,3.8,319,4.5,331,216.82,25.98,20.48,39.29,91.61,8.38,1.72,16.47,4.34,8.6,2.55,1.93,5.05
02-01-2024,04:00:00,97,0,993.9,3.2,297,2.8,310,180.08,27.93,20.74,42.07,85.86,10.4,1.46,12.95,3.99,7.21,3.6,2.51,4.26
02-01-2024,05:00:00,81,0,994,2,315,2.6,326,132.22,24.75,20.84,40.71,78.84,10.15,1.16,13.26,4.24,7.7,2.72,2.78,3.88
02-01-2024,06:00:00,74,0,992.9,1.8,307,2,315,100.79,31.16,22.14,38.72,78.28,10.02,1.74,15.64,4.09,7.57,2.62,2.7,3.9
02-01-2024,07:00:00,70,0,991.7,2.5,315,2.8,320,94.87,29.67,22.57,37.76,79.22,9.08,1.87,16.47,4.01,6.44,3.53,1.94,3.84
02-01-2024,08:00:00,66,0,990.6,3.1,306,3.3,311,95.78,25.74,20.04,40.95,72.11,9.13,1.08,24.82,3.1,6.94,2.57,1.79,2.64
02-01-2024,09:00:00,65,0,989.8,4,297,4.5,299,93.29,27.27,20.66,43.53,76.5,9.03,1.92,28.23,3.1,6.87,2.6,1.79,2.63
02-01-2024,10:00:00,66,0,989.4,5.4,307,6.4,313,141.12,26.8,25.34,39.56,80.43,9.09,1.42,29.07,2.82,6.93,1.03,0.96,2.52
02-01-2024,11:00:00,70,0,989.1,6.1,315,7.7,319,168.46,31.9,24.5,49.05,138.59,9.29,1.26,36.56,3.48,5.45,3.18,1.02,2.72
02-01-2024,12:00:00,88,0,989.1,7.7,298,10,311,212.04,32.65,23.64,58.13,131.1,9.11,2.04,29.02,3.28,5.68,1.95,1.01,2.68
02-01-2024,13:00:00,92,0,990.2,6.8,335,14.2,344,252.78,31.1,25.24,43.93,129.41,9.99,1.88,51.03,3.29,5.65,1.94,1.01,2.64
02-01-2024,14:00:00,94,0,990.6,6.2,350,15.2,355,283,22.38,37.42,43.81,89.6,13.46,1.33,52.11,3.46,5.64,2.68,1.04,2.46
02-01-2024,15:00:00,96,0,990.6,8.7,355,14.4,359,298.48,10.31,38.25,31.3,93.69,13.7,1.7,54.49,3.47,5.71,2.62,1.1,2.48
02-01-2024,16:00:00,95,0,990.9,7,339,10,347,334.35,12.08,41.08,29.52,96.16,9.92,2.11,46.97,3.64,6.03,2.68,1.44,2.8
02-01-2024,17:00:00,96,0,990.9,7.2,323,9.2,334,365.06,12.45,38.37,26.29,101.62,1.43,1.96,47.16,2.64,3.79,2.53,2.08,3.25
02-01-2024,18:00:00,97,0,990.5,7.9,336,10.2,337,370.78,14.97,34.92,24.45,105.77,9.49,1.56,41.48,4.47,12.57,2.82,4.96,7.84
02-01-2024,19:00:00,99,0,990.2,8.9,339,10.7,340,328.43,16,34.12,24.07,107.35,9.36,1.66,39.95,4.49,13.02,2.75,5.94,8.41
02-01-2024,20:00:00,100,0,990.1,8.5,348,10.7,346,366.92,22.57,32.8,38.12,107.5,9.07,2.13,34.33,4.57,8.59,2.58,4.88,5.95
02-01-2024,21:00:00,100,0,990,7.6,5,10.1,360,348.45,24.35,30.54,38.32,107.13,10.29,2.18,34.2,4.93,10.09,2.49,4.51,4.97
02-01-2024,22:00:00,100,0,989.8,6.4,16,8.7,17,331.39,23.58,29.44,37.63,103.3,9.23,2.98,33.41,5.37,10.63,3.67,3.96,4.9
02-01-2024,23:00:00,100,0,989.7,5.2,12,7.6,31,329.51,25.46,31.68,38.74,107.94,9.34,3.03,32.54,6.06,9.55,3.66,3.68,5.72
03-01-2024,00:00:00,100,0,989.7,3.7,11,7.7,41,321.69,21.07,29.44,30.7,104.42,9,2.38,24.84,5.89,20.33,13.97,9.34,6.36
03-01-2024,01:00:00,99,0,990.8,4,355,8.2,23,302.03,20.21,29.84,34.02,104.4,10.24,2.23,22.51,4.33,8.09,3.81,2.92,4.63
03-01-2024,02:00:00,100,0,991.4,3.5,24,6.2,36,250.12,20.7,27.6,30.66,105.12,9.69,1.91,29.5,4.31,8.81,2.36,2.53,3.85
03-01-2024,03:00:00,99,0,992.2,3.1,54,3.9,68,223.78,17.32,28.71,26.31,102.69,9.38,2.24,29.34,5.4,10.12,2.58,3.06,6.24
03-01-2024,04:00:00,97,0,993.1,3,104,3.1,111,223.3,18,30.15,28.06,99.65,11.22,1.95,25.8,5.05,8.42,3.56,3.48,5.28
03-01-2024,05:00:00,91,0,993.4,2.3,162,2.8,140,208.08,12.78,30.32,25.35,92.33,10.75,1.69,25.95,5.32,8.89,2.72,3.7,4.91
03-01-2024,06:00:00,81,0,992.6,2.9,187,3.6,174,209.75,16.54,28.61,24.72,86.42,10.47,2.27,28.44,5.28,8.75,2.7,3.6,4.85
03-01-2024,07:00:00,71,0,991.5,2.1,211,2.7,203,225.55,12.98,28.14,22.12,83.52,9.9,2.38,28.87,5.24,7.66,3.62,2.83,4.58
03-01-2024,08:00:00,69,0,990.3,4.1,308,4.3,312,240.43,14.86,29.08,23.45,84.8,9.71,1.57,37.41,4.25,8.05,2.51,2.54,3.44
03-01-2024,09:00:00,68,0,989.6,6,327,6.9,332,230.8,15.89,31.31,27.04,91.46,9.23,2.41,40.95,4.08,7.83,2.66,2.42,3.35
03-01-2024,10:00:00,66,0,989.5,6.4,333,7.3,340,225.3,11.91,33.61,25.23,99.65,9.39,1.8,36.07,3.74,7.57,1.02,1.52,3.04
03-01-2024,11:00:00,70,0,989.4,8.2,331,10,334,242.55,12.68,33.72,24.96,102.31,9.3,1.67,35.73,4.48,5.86,3.18,1.42,3.18
03-01-2024,12:00:00,81,0,989.3,7.1,330,14.7,335,164.93,13.32,34.5,32.51,102.02,10.19,2.42,33.1,4.24,6.13,1.94,1.4,3.14
03-01-2024,13:00:00,83,0,990,8.4,317,19.7,325,338.19,13.04,38.46,34.04,106.5,10.62,2.31,34.82,4.38,6.19,1.97,1.41,3.13
03-01-2024,14:00:00,90,0,990.2,6.4,333,17.1,345,361.04,10.02,40.52,29.5,104.24,10.75,1.78,39.45,4.37,6.34,2.62,1.88,3.16
03-01-2024,15:00:00,95,0,990.3,8.6,345,13.7,358,308.03,9.68,42.68,30.08,106.77,10.78,2.11,38.8,4.3,6.36,2.66,2.33,3.38
03-01-2024,16:00:00,97,0,990.5,7.7,332,10.8,358,306.51,12.65,38.79,27.86,102.59,9.97,2.33,29,4.28,6.74,2.65,2.51,3.55
03-01-2024,17:00:00,98,0,990.6,7.7,319,10.4,346,298.34,13.08,37.59,27.1,108.25,9.92,2.35,28.12,4.41,7.18,2.58,2.72,3.73
03-01-2024,18:00:00,100,0,990.4,7.4,309,11,337,309.63,15.45,34.79,23.85,108.97,9.8,1.72,26.39,4.84,13.17,2.7,5.02,7.55
03-01-2024,19:00:00,100,0,990.1,7.7,311,11.6,334,298.46,16.35,34.38,24.27,109.3,9.2,1.85,25.87,4.95,13.02,2.9,4.92,7.78
03-01-2024,20:00:00,100,0,989.9,5.9,313,13.7,330,289.67,20.72,34.51,37.13,107.46,9.03,2.27,20.59,5.03,8.51,2.55,3.6,4.8
03-01-2024,21:00:00,100,0,990,7.2,307,12.6,329,299.36,23.65,32.83,38.67,109.02,8.7,2.35,20.44,5.19,9.88,2.6,3.62,4.24
03-01-2024,22:00:00,100,0,989.8,4.3,312,12.6,329,261.45,21.19,30.34,36.69,101.12,9.37,3.1,19.66,5.57,10.48,3.59,3.35,4.33
03-01-2024,23:00:00,100,0,989.7,4.6,309,12.8,328,261.61,19.3,30.75,34.69,97.59,9.46,3.01,18.84,6.2,9.32,3.69,3.23,5.09
04-01-2024,00:00:00,99,0,990,4.2,301,11.3,329,232.81,17.63,26.69,27.27,93.37,9.11,2.13,14.55,5.76,19.64,12.26,8.97,5.91
04-01-2024,01:00:00,96,0,991.6,5.5,293,11.8,329,251.51,17.93,27.53,31.95,96.56,10.26,2.08,14.43,3.99,7.2,3.82,2.6,4.1
04-01-2024,02:00:00,96,0,992.3,5.4,290,10.8,323,262.67,19.49,25.24,29.24,100.8,9.85,1.73,15.84,3.91,8.05,2.39,2.23,3.43
04-01-2024,03:00:00,95,0,993.1,5.5,293,8.7,318,217.02,16.7,26.07,25.07,102.24,9.87,2.1,15.96,4.87,9.57,2.63,2.8,5.78
04-01-2024,04:00:00,88,0,994.1,5.7,288,7.1,300,235.57,17.56,26.35,26.69,93.53,10.21,1.76,12.34,4.45,8.11,3.56,3.26,4.94
04-01-2024,05:00:00,82,0,994.1,6.7,286,8.3,288,208.6,13.17,26.04,24.07,90.52,10.24,1.49,12.38,4.6,8.55,2.62,3.48,4.57
04-01-2024,06:00:00,76,0,993,7.9,286,9.4,288,193.5,17.05,24.67,23.58,82.12,9.98,2.08,14.77,4.51,8.35,2.67,3.4,4.42
04-01-2024,07:00:00,71,0,991.7,8,288,9.6,290,201.19,14.93,25.62,22.41,81.67,7.72,2.22,15.59,4.49,7.24,3.6,2.69,4.31
04-01-2024,08:00:00,67,0,990.7,3.6,307,3.8,311,226.17,16.65,24.84,24.06,83.32,7.87,1.5,23.62,3.68,7.73,2.54,2.43,3.24
04-01-2024,09:00:00,65,0,989.8,3.4,328,3.9,338,251.46,19.68,26.7,28.44,90.25,8.08,2.38,27.28,3.73,7.83,2.55,2.44,3.35
04-01-2024,10:00:00,64,0,989.4,2.8,320,3.2,333,271.55,19.33,30.08,29.45,107.36,9.66,1.92,27.4,3.59,7.53,1.05,1.62,3.28
04-01-2024,11:00:00,65,0,989.1,5.6,297,6,303,249.11,17.87,34.44,30.38,115.7,9.51,1.44,34.47,4.49,5.09,3.17,1.42,3.56
04-01-2024,12:00:00,76,0,989,9.5,279,16.9,286,316.14,17.5,32.51,39.34,106.28,10.29,2.04,33.04,4.18,5.36,1.96,1.48,3.45
04-01-2024,13:00:00,82,0,990.1,5.9,346,12,351,338.65,16.36,31.65,37.59,105.73,12.73,1.76,33.72,4.15,5.68,1.95,1.72,3.46
04-01-2024,14:00:00,84,0,990.5,7.6,352,15.5,357,320.12,15.53,31.04,33.9,96.95,12.41,0.95,37.23,4.18,5.78,2.66,1.94,3.33
04-01-2024,15:00:00,85,0,990.6,8.6,2,17.3,2,312.27,17.41,33.08,37.81,97.39,12.58,1.34,37.26,4.11,5.92,2.65,2.36,3.54
04-01-2024,16:00:00,90,0,990.7,7.2,360,16.6,360,288.26,16.83,32.49,31.66,100.57,11.33,1.86,29.71,4.12,6.15,2.65,3.07,3.92
04-01-2024,17:00:00,95,0,990.9,6.1,360,15.5,1,281.99,17.88,34.69,33.73,110.2,10.77,1.9,29.2,4.29,6.5,2.68,3.34,4.16
04-01-2024,18:00:00,97,0,990.4,5.8,356,15.1,359,277.67,21.54,32.48,31.88,114.77,10.4,1.28,29.12,4.86,11.95,2.78,5.98,8.38
04-01-2024,19:00:00,97,0,990.1,6,343,14.2,351,268.72,23.06,30.53,32.33,114.58,10.27,1.31,29.05,4.96,11.74,2.78,6.1,8.95
04-01-2024,20:00:00,98,0,989.9,4.3,336,12.4,343,264.5,23.56,29.13,41.67,105.2,9.55,1.54,23.98,4.78,7.23,2.62,4.23,5.26
04-01-2024,21:00:00,98,0,989.9,3.6,323,11.8,337,243,22.3,27.55,39.37,103.46,9.68,1.52,23.98,4.65,8.42,2.6,3.82,4.25
04-01-2024,22:00:00,98,0,989.8,4.3,318,12.9,333,222.65,18.3,27.02,36.58,92.84,9.07,2.19,23.18,4.84,8.96,3.68,4.25,4.58
04-01-2024,23:00:00,98,0,989.6,5.4,323,14.3,332,242.23,14.68,29.87,33.97,89.86,8.92,2.2,23.04,5.41,7.87,3.7,4.38,5.6
05-01-2024,00:00:00,99,0,989.8,6.5,326,13.4,329,238.09,13.44,27.15,27.48,89.33,9.33,1.49,18.02,5.04,18.45,12.27,9.84,6.44
05-01-2024,01:00:00,95,0,991.3,6,343,12.7,352,248.97,14.56,29.04,33.76,92.92,10.87,1.52,17.88,3.45,6.34,3.88,3.74,4.72
05-01-2024,02:00:00,95,0,991.8,5.1,356,12.2,2,206.78,16.59,27.19,31.46,99.48,10.8,1.23,19.18,3.4,7.43,2.34,3.09,3.86
05-01-2024,03:00:00,92,0,992.4,5.1,356,11.2,6,178.78,14.24,27.74,27.39,101.61,10.72,1.59,19.22,4.42,8.96,2.62,3.53,6.18
05-01-2024,04:00:00,89,0,993.3,4,5,6.2,10,153,18.27,17.66,21.55,148.04,12.04,0.96,11.76,2.46,5.88,3.58,3.83,3.45
05-01-2024,05:00:00,85,0,993.4,3.3,6,4.5,14,129.05,12.14,17.25,18.8,143.56,69.61,1.06,15.69,4.25,8,2.71,3.88,4.65
05-01-2024,06:00:00,79,0,992.4,3.1,339,3.7,349,106.57,19.01,16.68,19.48,129.25,67.49,1.6,18.1,4.21,7.79,2.66,3.65,4.6
05-01-2024,07:00:00,71,0,991.2,1,45,1.3,56,107.26,16.81,17.87,18.62,129.2,67.28,1.76,18.73,4.28,6.72,3.63,2.86,4.4
05-01-2024,08:00:00,68,0.1,990.2,2.2,90,2.9,97,121.23,14.43,12.29,18.89,62.3,9.51,0.94,27.13,3.52,7.21,2.54,2.56,3.32
05-01-2024,09:00:00,66,0,989.8,0.8,207,1.1,162,124.22,14.56,13.83,22.96,69.5,7.7,1.79,30.52,3.54,7.07,2.44,2.46,3.2
05-01-2024,10:00:00,65,0,989.6,2.5,262,3,256,120.65,11.72,17.6,23.17,65.12,10.21,1.25,30.84,2.76,6.02,1.04,1.6,2.96
05-01-2024,11:00:00,65,0,990.2,6.5,289,8,288,197.62,12.95,17.37,24.14,26.89,13.68,1.29,45.85,3.38,3.64,3.23,1.23,3.17
05-01-2024,12:00:00,71,0,990.2,7.6,301,13.6,302,213.4,15.54,45.58,32.19,20.53,10.19,1.81,34.3,2.24,2.91,1.94,0.84,2.63
05-01-2024,13:00:00,89,0,990.7,6.2,353,14.6,350,211.21,18.24,71.78,62.66,26.94,9.96,1.66,35.02,3.85,6.36,1.92,1.66,3.18
05-01-2024,14:00:00,93,0,991.4,7,348,16.1,350,218.92,14.47,58.08,48,75.59,10.62,1.15,38.68,3.94,6.08,2.61,1.74,3.06
05-01-2024,15:00:00,94,0,992.1,6.1,357,17,355,247.93,11.98,45.24,39.23,110.76,11.43,1.52,37.7,4.01,6.26,2.67,1.97,3.25
05-01-2024,16:00:00,97,0,992.2,7.3,11,13.7,3,233.53,14.34,36.86,34.2,85.84,9.72,1.77,31.82,3.78,6.38,2.64,2.3,3.42
05-01-2024,17:00:00,98,0,992.1,7.8,22,14.8,13,212.69,14.88,32.37,31.83,84.06,6.5,1.78,28.81,3.83,6.56,2.65,2.26,3.39
05-01-2024,18:00:00,98,0,991.6,7.9,16,12.1,12,236.63,17.41,30.74,29.46,107.96,5.4,1.12,28.47,4.21,12.54,2.81,3.99,6.71
05-01-2024,19:00:00,99,0,991.3,7,12,10.6,10,243.09,17.42,29.04,28.71,120.66,10,1.16,28.43,4.47,12.8,2.77,4.06,6.93
05-01-2024,20:00:00,100,0,991,7.2,360,10.1,4,214.82,18.68,27.37,38.1,112.48,9.75,1.43,23.4,4.29,7.66,2.59,2.53,3.76
05-01-2024,21:00:00,100,0,990.8,7.3,340,9.7,360,199.45,19.27,25.93,37.77,112.12,9.36,1.44,23.39,4.31,8.99,2.57,2.44,3.05
05-01-2024,22:00:00,100,0,990.5,8.7,318,10.4,346,201.69,17.36,24.91,36.46,106.6,10.31,2.18,22.62,4.79,9.83,3.66,2.3,3.34
05-01-2024,23:00:00,100,0,990.6,4.3,336,12,344,211.81,16.58,24.36,36.39,107.84,10.28,2.22,21.84,5.53,9.28,3.68,2.34,4.46
06-01-2024,00:00:00,99,0,990.9,4.8,333,11.9,346,183.93,13.74,20.84,28.02,118.91,9.63,1.57,18.04,5.5,20.58,11.92,7.91,5.51
06-01-2024,01:00:00,99,0,992.5,5.5,349,11.9,355,182.32,15.21,21.46,33.7,123.92,9.17,1.59,17.88,3.76,8.33,3.82,2.28,3.98
06-01-2024,02:00:00,99,0,993.3,5.1,352,11.9,2,165.15,17.08,18.6,31.95,128.13,9.15,1.24,18.66,3.69,9.05,2.36,1.96,3.26
06-01-2024,03:00:00,94,0,994.3,4.3,360,7.4,14,137.18,14.74,18.97,27.72,131.17,9.09,1.58,18.75,4.6,10.22,2.55,2.53,5.6
06-01-2024,04:00:00,89,0,995,3.1,339,4.9,17,120.59,16.13,19.4,30.45,120.95,9.23,1.31,15,4.21,8.43,3.5,3,4.81
06-01-2024,05:00:00,78,0,994.9,2.6,34,3.8,49,118.45,12.07,18.9,27.93,123.76,8.71,1.02,15.04,4.36,8.79,2.69,3.2,4.4
06-01-2024,06:00:00,64,0,993.9,6.6,68,8.4,70,118.31,19.08,19.92,25.4,119.56,8.46,1.57,17.64,4.38,8.61,2.67,3.14,4.35
06-01-2024,07:00:00,61,0,992.7,6,73,7.4,76,111.53,16.41,20.75,23.86,118.84,9.69,1.72,18.55,4.29,7.61,3.65,2.42,4.13
06-01-2024,08:00:00,60,0,991.7,3.5,66,4.6,72,140.75,12.7,17.3,28.47,110.23,9.12,0.94,26.53,3.47,8.2,2.47,2.2,3.05
06-01-2024,09:00:00,60,0,990.9,3,14,3.9,22,151.72,14.37,18.16,31.32,117.66,9.32,1.78,29.98,3.71,8.26,2.53,2.18,3.06
06-01-2024,10:00:00,60,0,990.5,5.8,353,6.8,360,170,13.31,22.48,26.79,125.66,8.84,1.27,30.59,3.22,8,1.01,1.43,2.86
06-01-2024,11:00:00,62,0,990.8,8.4,353,10.5,356,184.46,13.64,23.12,26.46,133.95,9.01,1.12,36.78,3.97,6.23,3.26,1.37,3.1
06-01-2024,12:00:00,72,0,991,7.6,341,14.3,348,148.6,18.56,25.57,38.81,121.88,8.58,2.23,40.1,3.78,5.87,1.92,1.52,3.39
06-01-2024,13:00:00,75,0,992.3,9.2,339,16.9,344,143.45,15.83,38.67,40.94,133.64,3.55,1.99,42.86,3.66,6.22,2,1.62,3.42
06-01-2024,14:00:00,76,0,992.9,7.4,346,14.6,344,148.37,12.27,36.42,32.62,114.62,3.62,1.1,36.6,4.34,7.16,3.184684951,1.98,3.91
06-01-2024,15:00:00,75,0,993.4,7,348,12.1,350,154.48,10.68,35.46,29.72,111.46,3.4,1.59,47.09,3.64,6.32,2.61,1.65,3.07
06-01-2024,16:00:00,79,0,993.8,5.5,349,11.2,2,155.89,15.98,23.39,26.39,102.16,9.48,1.95,36.24,3.66,6.46,2.64,1.75,3.06
06-01-2024,17:00:00,87,0,993.4,6.4,333,7.8,13,156.06,15.62,22.24,25.65,107.54,8.39,1.95,36.24,3.88,6.52,2.65,2.23,3.32
06-01-2024,18:00:00,86,0,993,4.4,279,4.1,345,149.78,19.18,21.42,23.21,123.18,7.89,1.05,35.97,4.07,11.92,2.82,4.06,7.2
06-01-2024,19:00:00,91,0,992.6,4.8,257,4.8,318,147.06,19.55,21.89,23.89,128.46,7.37,1.09,36.06,4.27,12.36,2.82,4.07,6.83
06-01-2024,20:00:00,93,0,991.8,5.8,266,7.1,315,161.4,21.52,22.22,38.06,115.79,9.37,1.48,29.05,4.23,8.15,2.58,2.58,3.73
06-01-2024,21:00:00,93,0,991.8,6.3,283,9.4,320,169.06,21.36,21.62,37.63,115.8,8.98,1.52,29.04,4.27,9.41,2.56,2.47,3.01
06-01-2024,22:00:00,96,0,991.6,7.3,281,10.5,319,170.83,18.68,20.84,36.19,99.71,9,2.54,27.92,4.59,9.98,3.59,2.22,3.21
06-01-2024,23:00:00,98,0,991.5,6.9,264,8.9,320,176.54,20.3,19.83,38.16,102.68,9.41,2.66,26.94,5.23,8.97,3.69,2.48,4.44
07-01-2024,00:00:00,98,0,991.5,5.2,245,5.9,322,180.18,29.37,13.79,36.6,127.66,8.65,1.78,19.03,5.06,19.55,12.34,8.68,5.67
07-01-2024,01:00:00,96,0,992.7,3.7,241,2.7,293,183.76,32.09,14.41,44.45,136.88,8.16,1.82,18.95,3.62,7.68,3.88,2.7,4.18
07-01-2024,02:00:00,97,0,993.6,5.4,250,3.4,288,165.59,33.92,11,41.77,134.61,10.64,1.4,22.76,3.7,8.67,2.39,2.5,3.56
07-01-2024,03:00:00,93,0,994.9,4.5,256,3.2,297,154.56,29.95,12.78,36.29,139.66,10.15,1.91,22.85,4.88,10.12,2.47,3.06,6.05
07-01-2024,04:00:00,84,0,995.9,2.2,270,2.1,301,140.88,28.21,15.01,37.76,123.61,10.19,1.46,17.91,4.48,8.46,3.55,3.55,5.18
07-01-2024,05:00:00,75,0,996.1,1.8,307,1.8,307,121.54,20.47,16.29,33.55,120,9.39,1.08,18.04,4.61,8.9,2.69,3.78,4.76
07-01-2024,06:00:00,69,0,995.5,1.4,360,1.6,27,112.2,28.31,18.91,29.59,107.71,9.29,1.81,21.41,4.34,8.55,2.68,3.57,4.54
07-01-2024,07:00:00,67,0,994.2,2.1,31,2.5,45,107.61,23.3,20.2,26.39,104.01,9.02,2,22.05,4.11,7.34,3.69,2.7,4.37
07-01-2024,08:00:00,65,0,993,2,45,2.8,50,110.52,17.95,17.17,33.12,95.48,9.39,0.94,33.33,3.29,7.69,2.52,2.41,3.23
07-01-2024,09:00:00,64,0,992.3,2.3,39,2.8,50,117.66,19.57,17.9,36.16,101.81,9.25,2.06,37.67,3.3,7.63,2.54,2.38,3.24
07-01-2024,10:00:00,64,0,991.7,1.6,27,2,45,116.63,16.81,22.15,28.45,108.18,9.28,1.26,38.05,2.96,7.58,1.1,1.52,2.94
07-01-2024,11:00:00,65,0,991.6,0.4,360,0.8,63,109.02,17.47,22.23,27.71,111.04,9.75,1.04,46.56,3.46,6.29,3.22,1.46,3.15
07-01-2024,12:00:00,70,0,991.5,2.9,240,2,225,109.78,19.06,21.08,37.08,103.26,9,1.96,42.59,3.23,6.26,1.92,1.48,3.1
07-01-2024,13:00:00,79,0,991.7,3.2,297,2.7,337,114.56,18.88,21.44,37.25,106.8,8.95,1.78,42.13,3.18,6.32,1.98,1.5,3.13
07-01-2024,14:00:00,92,0,992.3,5.6,243,5.1,274,115.73,15.3,20.97,28.08,96.38,9.96,1,46.86,3.22,6.22,2.63,1.52,2.93
